Voltage_V,Current_A
-7,-1.33731695e-12
-6.93,-1.38303228e-12
-6.86,-1.68921353e-12
-6.79,-1.46598889e-12
-6.72,-1.32259884e-12
-6.65,-1.55630455e-12
-6.58,-1.76102005e-12
-6.51,-1.73559787e-12
-6.44,-1.79625431e-12
-6.37,-1.80651239e-12
-6.3,-1.33954697e-12
-6.23,-1.65487128e-12
-6.16,-1.41179949e-12
-6.09,-1.5623256e-12
-6.02,-1.6854225e-12
-5.95,-1.85289673e-12
-5.88,-1.5074672e-12
-5.81,-1.45550782e-12
-5.74,-1.49832413e-12
-5.67,-1.617184e-12
-5.6,-1.46130586e-12
-5.53,-1.16493669e-12
-5.46,-1.72890782e-12
-5.39,-1.62588106e-12
-5.32,-1.57213767e-12
-5.25,-1.25458334e-12
-5.18,-1.45150211e-13
-5.11,-4.08515141e-13
-5.04,-1.20864501e-12
-4.97,-9.68472245e-13
-4.9,-7.72230807e-13
-4.83,-2.02929102e-12
-4.76,-2.36357879e-13
-4.69,-1.20240096e-12
-4.62,-3.04773949e-12
-4.55,-2.68424682e-12
-4.48,-2.67578108e-13
-4.41,-5.86916449e-13
-4.34,-2.26076672e-12
-4.27,-2.07299934e-12
-4.2,6.47842305e-13
-4.13,-2.17201207e-12
-4.06,-1.39529737e-12
-3.99,-6.80131132e-13
-3.92,-1.88768498e-12
-3.85,-1.91310717e-12
-3.78,-5.77327378e-13
-3.71,-1.56968465e-12
-3.64,-2.02059396e-12
-3.57,-1.06257894e-12
-3.5,-8.36209144e-12
-3.43,-2.49224241e-12
-3.36,-1.47847698e-12
-3.29,-1.2731008e-13
-3.22,2.63768185e-12
-3.15,-3.38046625e-13
-3.08,5.13141444e-14
-3.01,-6.68758049e-13
-2.94,3.18113573e-12
-2.87,-9.8542037e-13
-2.8,-3.52318729e-13
-2.73,7.20986693e-13
-2.66,8.98049631e-13
-2.59,-6.67197037e-13
-2.52,-3.22882514e-13
-2.45,-2.83857227e-13
-2.38,-3.02812366e-13
-2.31,-4.37282352e-13
-2.24,-1.01574859e-12
-2.17,-2.68693116e-13
-2.1,-4.25463265e-13
-2.03,-1.28870259e-12
-1.96,8.81770545e-13
-1.89,-3.11286429e-13
-1.82,-1.99785611e-13
-1.75,-6.6898105e-13
-1.68,2.16549873e-14
-1.61,-8.74588557e-13
-1.54,-1.09023946e-13
-1.47,-4.47994753e-14
-1.4,5.82189568e-15
-1.33,-6.55600952e-13
-1.26,-2.31897847e-13
-1.19,-1.33642494e-12
-1.12,-5.87808455e-13
-1.05,-8.31103238e-13
-0.98,4.59621161e-14
-0.909999999999999,-5.88485783e-14
-0.84,-8.11487418e-14
-0.77,-4.03163102e-13
-0.699999999999999,-6.64744019e-13
-0.629999999999999,-1.87966525e-13
-0.56,-5.51459189e-13
-0.489999999999999,-2.11381696e-13
-0.419999999999999,-1.9688659e-13
-0.35,-6.8258415e-13
-0.279999999999999,-2.77836183e-13
-0.209999999999999,-3.8242395e-13
-0.14,-2.28329821e-13
-0.0699999999999994,4.37321043e-14
0,-1.20397029e-13
0.0699999999999994,1.00589258e-14
0.14,-4.95485779e-13
0.209999999999999,-2.12719706e-13
0.279999999999999,-2.82519218e-13
0.35,-2.64010082e-13
0.419999999999999,1.97379918e-13
0.489999999999999,-7.89178931e-13
0.56,-1.83506492e-13
0.629999999999999,-6.8124614e-13
0.699999999999999,-2.86310245e-13
0.77,-6.13230642e-13
0.84,-4.41296381e-13
0.909999999999999,-4.7519263e-13
0.98,2.17450025e-13
1.05,-3.91344015e-13
1.12,8.85115563e-13
1.19,2.09198981e-13
1.26,-1.06324794e-12
1.33,-3.56109757e-13
1.4,-7.26961475e-13
1.47,-8.33779258e-13
1.54,-1.02578367e-12
1.61,-2.35465873e-13
1.68,1.02939733e-12
1.75,-6.68758049e-13
1.82,-2.0674243e-12
1.89,1.02783632e-12
1.96,-1.47869998e-12
2.03,-2.78415155e-12
2.1,-3.28903558e-13
2.17,-1.69768759e-12
2.24,-2.68024111e-13
2.31,2.74092325e-13
